query,_id,total_purchases,add_to_cart_count,total_click_count,one_day_revenue,three_day_revenue,five_day_revenue
$58 multicolor pants compare,89199404_0,13,99,105,64.14,277.94,277.94
1 dress shoulder tank,73633821_1,26,49,194,503.62,503.62,503.62
1 dress tank black,73633821_1,12,53,63,154.96,213.07,232.44
1 midi gray slip,91270795_0,12,42,79,91.45,164.61,219.48
1 shoulder tank black,73633821_1,22,52,120,348.66,348.66,426.14
1 x orange 2,90992177_0,69,94,182,731.12,731.12,1327.56
1 x paris orange,90992177_0,24,41,52,0.0,19.24,461.76
100% ankle marcia exclusive,88131855_0,17,28,153,193.9,193.9,329.63
100% bloomingdale's blue jolie,90993120_0,19,21,71,436.5,460.75,460.75
100% bloomingdale's dress cold,90994298_0,11,31,77,98.2,98.2,270.05
100% bloomingdale's exclusive burnout,91337039_0,86,103,111,780.16,1458.56,1458.56
100% bloomingdale's exclusive dress,91285681_0,128,139,153,2976.0,2976.0,2976.0
100% dress bloomingdale's exclusive,91285681_0,9,29,54,46.5,46.5,209.25
100% exclusive trim black,91284465_0,33,138,164,599.94,599.94,599.94
100% exclusive v bloomingdale's,91337516_0,107,109,125,568.05,568.05,1736.61
100% lace-up exclusive bloomingdale's,88645565_0,11,21,75,47.62,261.91,261.91
100% printed dress silk,90860631_0,11,52,117,20.76,124.56,228.36
100% printed exclusive bloomingdale's,91333539_0,8,23,181,82.04,82.04,164.08
100% shoulder cold bloomingdale's,90994298_0,40,104,142,343.7,957.45,982.0
100% suede twist exclusive,91229929_0,138,153,158,2066.61,3133.98,3133.98
2 black tweed boucle,90161701_0,26,132,139,403.2,582.4,582.4
2 blue dress,91261933_0,32,70,74,432.4,432.4,601.6
2 dress beige piece,88934118_1,25,65,299,299.55,499.25,499.25
2 dress black lola,91369459_0,52,103,196,917.2,1192.36,1192.36
2 dress multicolor pleated,91086384_0,55,163,183,1242.45,1242.45,1242.45
2 dress pleated multicolor,91086384_0,38,126,126,858.42,858.42,858.42
2 plus a-line lace,89489993_0,42,71,110,631.95,631.95,804.3
2 red dress piece,55525904_0,25,44,78,473.75,473.75,473.75
2 red piece dress,55525904_0,16,73,95,303.2,303.2,303.2
2 scoop neck multicolor,90702793_0,29,123,127,648.73,648.73,648.73
2-in-1 dress effect blue,91390597_0,55,46,156,763.0,763.0,1199.0
2-in-1 natural v-neck dress,91300675_0,24,95,163,305.52,385.92,385.92
2-piece dress jacket jacquard,89540786_0,33,156,168,337.6,696.3,696.3
2.0 black cotton capri,89456574_0,10,48,116,227.9,227.9,227.9
2pc dress sheath blue,91280877_0,6,109,157,145.86,145.86,145.86
2pc set blue sheath,91435614_0,28,34,147,477.4,477.4,477.4
2pc set dress sheath,91280877_0,34,50,127,437.58,437.58,826.54
3/4 beaded blue sleeve,89940603_0,89,100,163,264.0,1958.0,1958.0
3/4 black bodycon dress,91260678_0,21,94,129,395.52,395.52,519.12
3/4 black dress length,88805681_0,14,66,161,151.56,235.76,235.76
3/4 black dress length,90690752_0,39,106,106,504.68,504.68,894.66
3/4 black length dress,88805681_0,27,64,69,218.92,218.92,454.68
3/4 black length dress,91168056_0,51,80,146,465.75,1032.75,1032.75
